,time,close,high,low,open,volumefrom,volumeto,conversionType,conversionSymbol
164,1572264420,9371.88,9376.18,9358.3,9359.35,76.39,715631.27,force_direct,
165,1572264480,9369.6,9379.16,9367.64,9371.88,57.22,536434.58,force_direct,
166,1572264540,9364.14,9369.6,9356.1,9369.6,20.99,196477.47,force_direct,
167,1572264600,9345.64,9364.14,9329.0,9364.14,188.02,1756002.86,force_direct,
168,1572264660,9329.22,9355.93,9329.13,9345.64,65.39,610865.89,force_direct,
169,1572264720,9331.92,9345.99,9329.01,9329.22,81.25,758648.58,force_direct,
170,1572264780,9319.77,9335.46,9308.0,9331.92,77.07,718165.73,force_direct,
171,1572264840,9333.34,9334.98,9312.3,9319.77,78.73,734230.56,force_direct,
172,1572264900,9339.45,9345.0,9329.47,9333.34,33.05,308638.25,force_direct,
173,1572264960,9338.84,9341.71,9334.3,9339.45,22.42,209366.93,force_direct,
174,1572265020,9359.85,9360.12,9337.11,9338.84,22.88,213928.52,force_direct,
175,1572265080,9369.47,9375.0,9354.55,9359.85,64.9,607917.93,force_direct,
176,1572265140,9363.5,9373.87,9362.45,9369.47,42.87,401547.94,force_direct,
177,1572265200,9369.09,9370.31,9360.0,9363.5,23.99,224580.95,force_direct,
178,1572265260,9370.33,9373.61,9364.37,9369.09,11.47,107512.64,force_direct,
179,1572265320,9376.5,9384.23,9365.16,9370.33,39.5,370190.38,force_direct,
180,1572265380,9367.75,9380.94,9366.0,9376.5,39.11,366665.29,force_direct,
181,1572265440,9356.91,9367.93,9356.82,9367.75,34.86,326276.28,force_direct,
182,1572265500,9356.42,9359.33,9350.0,9356.91,26.92,251827.06,force_direct,
183,1572265560,9367.75,9375.2,9354.26,9356.42,88.74,831043.79,force_direct,
184,1572265620,9363.9,9373.66,9360.96,9367.75,23.99,224751.48,force_direct,
185,1572265680,9361.2,9368.0,9356.95,9363.9,26.42,247395.96,force_direct,
186,1572265740,9355.0,9366.46,9352.23,9361.2,35.3,330436.1,force_direct,
187,1572265800,9349.38,9355.0,9340.48,9355.0,50.26,469822.66,force_direct,
